dbID,log_tau,log_sigma,sf_at_300d,drw_at_300d,sf_excess
1092597,2.50508,-0.796981,0.10894877478115926,0.16502590670794792,0.6601919477647209
1092663,3.42611,-0.726289,0.3176011474930289,0.2346547655267964,1.353482622779977
1092990,1.92185,-0.42069,0.1580200527738546,0.25321963743191556,0.6240434366641183
1093570,2.90295,-0.899348,0.10781725483224115,0.1478691445153944,0.7291396402243775
1093653,3.34318,-0.557651,0.07314215610713079,0.34398460338038983,0.2126320637271306
1094710,2.61458,-0.820992,0.10264298523319743,0.16337983422580704,0.6282475785312324
1094741,3.01618,-1.0953,0.05768620003448476,0.09611662718045176,0.6001687920882123
1095049,2.73883,-0.839427,0.1008450544151767,0.16309774494089455,0.6183105379643491
109511,1.93794,-0.607367,0.08153478747520827,0.1675005998509629,0.486773107366514
109616,4.34862,-0.729984,0.14289940320596073,0.23846561280256556,0.5992453231580706
1097304,2.04816,-0.313561,0.37355481826258247,0.3669535581786447,1.017989361151593
109828,3.11026,-0.739956,0.13842360795072275,0.22080928416864032,0.6268921547927462
1098291,2.77598,-0.661999,0.1447710014372456,0.24793874799182347,0.5838982515230733
1098594,2.34802,-0.601196,0.20994406702308957,0.23828589447976997,0.8810595670442147
1098793,2.77882,-0.30468,0.0,0.5649252092522244,0.0
1099250,2.40374,-0.739776,0.18038358886116818,0.17887742923868485,1.0084200652306645
1099265,5.0,-1.0,0.07670515835770969,0.12839489999949613,0.5974159281872622
1099515,3.33666,-0.854872,0.09466238598440997,0.17341971796463237,0.5458571095341975
1099738,7.5,-0.76942,0.26967560759796866,0.21850129875103164,1.2342059710374853
1100092,2.33205,-0.453108,0.33253090712865224,0.33182546381687933,1.0021259468868315
1100397,2.89003,-0.974214,0.07111803172255395,0.12412353969501486,0.5729616791246749
1100808,3.22815,-1.08178,0.08406053505491762,0.10186466319660677,0.8252178176123177
1101464,2.68611,-1.02572,0.09296058481781569,0.10451863995197949,0.8894163267004422
11021,5.0,-1.05,0.0676542009714911,0.11443207507613934,0.5912171122167995
