dbID,peak_power,best_period,rest_period,n_cycles,n_obs,baseline,null_p99,null_p999,sig_99,sig_999,log_tau,log_sigma,redshift
9330,0.8727185664942565,398.1711181530104,174.32297979642328,8.340720149179132,54.0,3321.0338679999986,0.8650882275419166,0.8976659175163921,True,False,5.0,-1.075,1.2841
607430,0.872650338575032,391.1589433425242,105.20681639121146,8.530946753984725,63.0,3336.956118000002,0.9061283523487045,0.9204097927263459,False,False,5.0,-0.85,2.718
4928796,0.8725463038159846,424.08871745419475,216.30557862603018,6.116612862449408,59.0,2593.9865040000004,0.8881758558183739,0.9092795924835446,False,False,4.06936,-0.940747,0.9606
3062461,0.8721836023760169,393.68006445260045,149.06477260605848,8.476314650679438,68.0,3336.9560980000024,0.8942460853603296,0.921650668199282,False,False,5.0,-0.875,1.641
121143,0.8721756194715802,494.9690489589195,363.2800359331519,6.709578907984673,50.0,3321.033890999999,0.9035643646529713,0.9266717528808462,False,False,2.92101,-0.927452,0.3625
1415760,0.8719347196046497,402.4341142020497,149.03863202801637,7.3252870469125435,55.0,2947.9454039999982,0.9199856153506519,0.9467289029826612,False,False,4.70202,-0.88023,1.7002
2216579,0.8719193777759355,332.8136824579991,127.30021513846356,7.760987300532548,51.0,2582.962763000003,0.873877277062077,0.9207395503271,False,False,2.08367,-0.307923,1.6144
456866,0.8718632065273249,431.19913717031073,136.22263763515218,7.738729091385011,62.0,3336.9333069999993,0.8763766088055817,0.9079252221219154,False,False,3.90663,-1.21248,2.1654
1999608,0.8717398345110747,321.85304449648703,123.39098470191958,10.318479345738318,67.0,3321.033991999997,0.8818815755483874,0.9032173007802645,False,False,3.99198,-0.96087,1.6084
131280,0.8714627452960221,441.3246362267937,221.86036407942578,7.52514939658465,55.0,3321.033819999997,0.8791577135849724,0.9111917744731413,False,False,2.62197,-0.873648,0.9892
881113,0.8711889754953553,315.00608838908386,168.96748827392793,10.495164467794352,48.0,3306.040706,0.906761583598386,0.9330151536724548,False,False,3.59925,-0.636869,0.8643
73692,0.8710969187130216,988.7140287769785,333.69807579634085,3.3750237721697207,63.0,3336.9333509999997,0.8732299779781015,0.8945778512622999,False,False,3.29031,-0.706917,1.9629
3535476,0.8709805510051017,434.2648365754912,250.80267777966571,5.134993571169217,54.0,2229.947143999998,0.9200372228216929,0.9485589874489595,False,False,3.45864,-0.776941,0.7315
624210,0.8709746033050242,437.76627513438183,158.76628409472377,7.622636771130108,62.0,3336.933305999999,0.8965308730061443,0.9116928961950446,False,False,2.90146,-0.822572,1.7573
1364850,0.8708050928474371,404.43259150266687,203.4062221509163,7.274246798630223,81.0,2941.9424839999992,0.9134454756136874,0.9405802150773677,False,False,5.0,-0.8,0.9883
1553672,0.8707989117523758,407.8078635014836,133.12697532121686,7.228760528766202,63.0,2947.9453869999998,0.9032308383310241,0.9276345118488781,False,False,3.24535,-0.593584,2.0633
3495662,0.8706833469675137,323.13005143276996,89.78578216476423,6.901082675883405,45.0,2229.9472000000023,0.9301883982694705,0.9641947192559281,False,False,3.33472,-0.780444,2.5989
590342,0.8699776362135401,325.93196472244864,187.77046014658868,10.238128370875197,63.0,3336.9332949999953,0.8780531242473457,0.9008315518011204,False,False,2.72774,-0.736564,0.7358
523147,0.8693098839204355,416.14307342922024,160.6792051543381,7.05271584557371,56.0,2934.9388480000052,0.8805395942602111,0.9107075378442895,False,False,2.2176,-0.442515,1.5899
2213303,0.8691787957017576,492.97163995067814,196.05155694996148,5.239576690980493,53.0,2582.962714000001,0.9109662991609642,0.9313794665931273,False,False,3.00236,-1.10567,1.5145
3943173,0.8689888202278138,396.2338949454906,112.1681231268197,8.38149871670334,46.0,3321.033881999996,0.8956690380882607,0.9171219317334417,False,False,5.0,-0.725,2.5325
1165070,0.8689807227210582,442.1232532421836,210.64522046890445,7.547518189847658,55.0,3336.933296000003,0.8984805839947545,0.9466649108525035,False,False,3.04323,-1.04383,1.0989
213538,0.8687008435257146,407.8078635014836,207.00906776725057,8.143624037764324,59.0,3321.0339199999944,0.8731621729370187,0.9112665104096372,False,False,3.56584,-0.950756,0.97
585159,0.8684391772209963,291.3415038092083,194.22766920613887,11.399110211138522,56.0,3321.0339109999986,0.8920682883493214,0.9256372810592844,False,False,3.53304,-0.810819,0.5
