dbID,peak_power,best_period,n_cycles,n_obs,baseline,redshift,rest_period
1034795,0.6688172726127368,337.4098511585085,8.736986776995769,54,2947.9454079999996,0.9804,170.37459662619094
1034817,0.7991433398908717,319.74698269594296,10.436168469408802,55,3336.933379000002,1.7041,118.24525080283384
1035792,0.7657285859532075,401.77233692673116,8.305532754009748,111,3336.9333040000056,3.0253,99.8117747563489
103646,0.515361333925612,447.7955401690255,7.451912736201966,61,3336.9332890000005,1.4123,185.6301207018304
1037663,0.7148324167640816,404.43259150266687,7.256929237812557,44,2934.9386980000054,0.6812,240.56185552145305
1037979,0.7114779850627705,331.0100858046064,10.081062330438398,96,3336.9333069999993,1.6548,124.68362430488413
1038570,0.6126716433266788,411.5863359850257,8.107492946805209,55,3336.933315999995,0.9642,209.5440056944434
1039144,0.7110576468819094,870.6790734508018,3.359378161470514,52,2924.9402650000047,0.6521,527.013542431331
103979,0.9173801874571617,464.39281942977817,7.151346205304925,25,3321.0338269999993,0.4166,327.8221229915136
1040530,0.6825265709248195,297.5507442489851,11.214669653817811,58,3336.9333019999976,1.3181,128.35975335360212
10408,0.6642865251606709,332.5871587385615,9.985454428234803,53,3321.0339170000007,0.7061,194.9400145000654
104193,0.7227441571945931,323.5579752795762,7.982998050869067,51,2582.962685999999,1.416,133.92300301306963
1042114,0.7819778986310308,390.5337003818488,7.548504539090001,50,2947.9454100000003,2.317,117.73702152000264
1042657,0.3950832007929539,390.5337003818488,8.544546326571249,55,3336.9332950000025,1.0347,191.9367476197222
1043692,0.5693074462066978,411.9333083551892,7.124790842282053,58,2934.938663000001,1.7066,152.19585766466756
104392,0.6400242220277547,765.633704735376,4.337627533192054,56,3321.033838000003,2.0335,252.39284810792023
1045019,0.7359405268904735,422.62156448202956,7.895795284582295,53,3336.9333560000014,1.906,145.43068289126964
1045060,0.5223356253207388,299.74100327153764,9.791582285928412,56,2934.938697999998,1.5508,117.50862602773157
1045090,0.6891711391411166,486.1058914557312,6.064409964610474,54,2947.9454119999937,2.118,155.9031082282653
1045155,0.7713418546638877,565.4152738493185,5.190766577667927,23,2934.938706000001,0.6254,347.8622332037151
1045366,0.6758694201707587,401.77233692673116,7.280093740085955,51,2924.940275000001,1.93,137.12366448011304
1047301,0.6714380736343132,416.4977744104555,8.011887501015721,54,3336.933312999994,3.2936,97.00432606913908
104744,0.7974721211281321,399.79999999999995,8.306737973987005,50,3321.0338420000044,1.4003,166.5625130192059
1047685,0.6688195112562386,408.489689764072,7.184853954808765,55,2934.9387629999983,1.7097,150.75089115550506
1047897,0.5617867162420134,494.46818079604225,6.748529896560562,55,3336.9333010000046,1.7454,180.1078825657617
1048564,0.579579315734047,513.7016703656114,6.495858465138019,56,3336.9333439999973,1.3545,218.17866653880293
1048924,0.7613765058544304,404.76760239300506,8.24407215219768,55,3336.933318999996,0.9359,209.08497463350642
1049523,0.5217958614344418,393.3631484794275,8.483085710746279,57,3336.9333039999983,0.8882,208.32705670979107
104962,0.5530712811374898,390.5337003818488,8.54454636754082,60,3336.9333110000007,1.9004,134.64822106669726
1050365,0.6804271792591775,439.73602639736015,6.67431949582383,55,2934.938734000003,2.9264,111.99470924953141
1050493,0.7596743875233057,393.046742336223,8.48991470369572,52,3336.9333170000027,1.3243,169.10327510916105
1051287,0.4672071814919428,899.5295561464512,3.709642760706261,55,3336.933305999999,2.5138,255.99907682464888
1052077,0.45628192589609856,576.760655737705,5.111210974038158,51,2947.945393000002,1.2047,261.60505090837984
